name,sku,description,price,compareAtPrice,stockQuantity,minStockAlert,requiresPrescription,isFeatured,dosageForm,strength,activeIngredients,manufacturer,categoryName
Ovex Family Pack Tablets (Mebendazole),OVX-FAM-PCK,Single-dose family deworming pack containing Mebendazole to treat threadworms and intestinal pinworms.,180.00,210.00,80,10,false,false,Tablet,100mg,Mebendazole,McNeil Products Limited,Digestive Health
Brinzolamide 10mg/mL Eye Drops - Sandoz,BRZ-10MG-SAN,Ophthalmic suspension to lower elevated intraocular pressure in open-angle glaucoma.,155.00,175.00,60,10,true,false,Eye Drops,10mg/mL,Brinzolamide,Sandoz,Eye Care
Empagliflozin 10mg Tablets (Jardiance),EMP-10MG-TAB,SGLT2 inhibitor for blood sugar reduction in Type 2 Diabetes and cardiovascular risk reduction in heart failure.,778.60,850.00,50,5,true,false,Tablet,10mg,Empagliflozin,Boehringer Ingelheim,Diabetes Care
Hypromellose 0.3% Eye Drops,HYP-03-DRP,"Artificial tears lubricant soothing dry, gritty, and tired eyes caused by screens or wind.",75.00,88.00,100,10,false,false,Eye Drops,0.3%,Hypromellose,Trion Pharma,Eye Care
Olig Ear Drops,OLI-EAR-DRP,Antimicrobial and astringent ear drops for maintaining ear canal hygiene and preventing swimmer ear.,311.00,350.00,50,5,false,false,Ear Drops,Standard,Acetic Acid / Mineral Solution,Renascience,Ear Care
Hylo-Night Eye Ointment - Ursa Pharm,HYL-NGT-URS,Vitamin A enriched nighttime lubricating ointment for overnight corneal protection.,115.00,130.00,70,10,false,false,Eye Ointment,Standard,Vitamin A (Retinol Palmitate),Ursapharm,Eye Care
Clarithromycin 500mg Tablets - Sandoz,CLA-500-SAN,"Macrolide antibiotic used for respiratory tract infections, skin infections, and H. pylori eradication.",155.00,175.00,100,10,true,false,Tablet,500mg,Clarithromycin,Sandoz,Antibiotics
Atorvastatin 40mg Tablets - Sandoz,ATO-40MG-SAN,Potent statin therapy for severe hypercholesterolemia and secondary prevention of cardiovascular events.,75.00,90.00,120,15,true,false,Tablet,40mg,Atorvastatin Calcium,Sandoz,Cardiovascular
Amitriptyline 10mg Tablets - Flamingo,AMI-10MG-FLA,"Tricyclic agent for neuropathic pain management, migraine prophylaxis, and tension headache prevention.",28.00,35.00,100,10,true,false,Tablet,10mg,Amitriptyline Hydrochloride,Flamingo Pharma,Mental Health
Amitriptyline 10mg Tablets - Accord,AMI-10MG-ACC,"Tricyclic medication indicated for chronic nerve pain relief, fibromyalgia, and migraine prevention.",8.90,12.00,150,15,true,false,Tablet,10mg,Amitriptyline Hydrochloride,Accord Healthcare,Mental Health
Xailin Night Ointment,XAI-NGT-ONT,Preservative-free ophthalmic lubricant ointment providing a long-lasting moisture barrier for severe dry eye.,74.00,85.00,80,10,false,false,Eye Ointment,5g,White Soft Paraffin + Mineral Oil,VisuFarma,Eye Care
Metformin 500mg Tablets,MET-500-GEN,First-line biguanide oral hypoglycemic medication for managing blood glucose in Type 2 Diabetes.,27.45,34.00,250,25,true,true,Tablet,500mg,Metformin Hydrochloride,Generic,Diabetes Care
Optanol 0.1% Eye Drops (Patanol),OPT-01-NOV,Antihistamine and mast cell stabilizer eye drops for treating allergic conjunctivitis and itchy eyes.,101.00,120.00,70,10,true,false,Eye Drops,0.1%,Olopatadine Hydrochloride,Novartis,Eye Care
Empagliflozin 25mg Tablets (Jardiance),EMP-25MG-TAB,"High-strength SGLT2 inhibitor providing glycemic control, weight benefit, and heart failure protection.",766.67,840.00,50,5,true,false,Tablet,25mg,Empagliflozin,Boehringer Ingelheim,Diabetes Care
Apixaban 5mg Tablets (Eliquis Generic),API-5MG-SAN,Novel oral factor Xa inhibitor anticoagulant for stroke prevention in non-valvular atrial fibrillation.,872.00,950.00,40,5,true,false,Tablet,5mg,Apixaban,Sandoz,Cardiovascular
Cetirizine 10mg Tablets - Indoco,CET-10MG-IND,"Rapid-acting antihistamine for hay fever, allergic rhinitis, and urticarial skin reactions.",15.00,20.00,200,20,false,false,Tablet,10mg,Cetirizine Hydrochloride,Indoco Remedies,Allergy & Cold
Cetirizine 10mg Tablets - Crescent,CET-10MG-CRE,"Daily allergy relief tablet targeting sneezing, runny nose, itchy throat, and skin allergies.",46.00,55.00,200,20,false,false,Tablet,10mg,Cetirizine Hydrochloride,Crescent Pharma,Allergy & Cold
Esomeprazole 40mg Tablets - Ethypharm,ESO-40MG-ETH,High-potency proton pump inhibitor (PPI) for healing erosive esophagitis and severe GERD.,320.00,360.00,80,10,true,false,Tablet,40mg,Esomeprazole Magnesium,Ethypharm,Gastrointestinal
Quetiapine 25mg Tablets,QUE-25MG-CRE,"Atypical antipsychotic indicated for bipolar disorder, schizophrenia, and adjunct treatment of major depressive episodes.",205.00,235.00,60,10,true,false,Tablet,25mg,Quetiapine Fumarate,Crescent Pharma,Mental Health
Germolene Antiseptic Cream Dual Action (30g),GER-30G-BAY,"Antiseptic and local anesthetic cream for cuts, grazes, minor burns, and blisters with soothing action.",41.00,50.00,100,10,false,false,Cream,30g,Phenol + Chlorhexidine Digluconate,Bayer,First Aid
Omeprazole 20mg Capsules - Glenmark,OME-20MG-GLE,"Proton pump inhibitor for heartburn, acid indigestion, and peptic ulcer treatment.",40.00,48.00,200,20,false,false,Capsule,20mg,Omeprazole,Glenmark,Gastrointestinal
Omeprazole 20mg Capsules - Almus,OME-20MG-ALM,Gastro-resistant capsules for gastric acid reduction and ulcer prophylaxis.,34.00,42.00,200,20,false,false,Capsule,20mg,Omeprazole,Almus,Gastrointestinal
Omeprazole 20mg Capsules - Sandoz,OME-20MG-SAN,Dependable acid reflux and heartburn relief capsules.,25.30,32.00,200,20,false,false,Capsule,20mg,Omeprazole,Sandoz,Gastrointestinal
Solifenacin 10mg Tablets,SOL-10MG-CRE,Competitive muscarinic receptor antagonist for overactive bladder symptoms with urge incontinence.,205.00,235.00,70,10,true,false,Tablet,10mg,Solifenacin Succinate,Crescent Pharma,Men Health
Semaglutide 14mg Tablets (Rybelsus),SEM-14MG-RYB,Oral GLP-1 receptor agonist for Type 2 Diabetes glycemic control and weight reduction management.,2575.00,2850.00,30,5,true,true,Tablet,14mg,Semaglutide,Novo Nordisk / Servipharm,Diabetes Care
Atorvastatin 20mg Tablets - Hillcross,ATO-20MG-HIL,Statin medication for cholesterol reduction and cardiovascular disease prevention.,64.00,75.00,150,15,true,false,Tablet,20mg,Atorvastatin Calcium,Hillcross Pharma,Cardiovascular
Atorvastatin 20mg Tablets - Sandoz,ATO-20MG-SAN,Standard lipid-lowering therapy for hyperlipidemia and coronary heart disease risk management.,45.00,55.00,150,15,true,false,Tablet,20mg,Atorvastatin Calcium,Sandoz,Cardiovascular
Atorvastatin 10mg Tablets - Sandoz,ATO-10MG-SAN,Initial dose statin for LDL cholesterol reduction.,45.00,55.00,150,15,true,false,Tablet,10mg,Atorvastatin Calcium,Sandoz,Cardiovascular
Atorvastatin 10mg Tablets - Flamingo,ATO-10MG-FLA,Lipid-regulating medication reducing cardiovascular risk factors.,41.00,50.00,150,15,true,false,Tablet,10mg,Atorvastatin Calcium,Flamingo Pharma,Cardiovascular
Atorvastatin 10mg Tablets - Sun Pharma,ATO-10MG-SUN,Affordable cholesterol-lowering medication for cardiovascular wellness.,35.00,42.00,150,15,true,false,Tablet,10mg,Atorvastatin Calcium,Sun Pharma,Cardiovascular
Fucidin 2% Cream,FUC-2PCT-CRM,Topical antibacterial cream targeting primary and secondary skin infections caused by Staph and Strep.,125.00,145.00,80,10,true,false,Cream,2%,Fusidic Acid,Leo Laboratories,Antibiotics
Buscopan 10mg Tablets,BUS-10MG-OPE,Targeted abdominal cramping and irritable bowel syndrome relief tablets.,203.00,230.00,100,10,false,false,Tablet,10mg,Hyoscine Butylbromide,Opella Healthcare / Sanofi,Gastrointestinal
Bumetanide 1mg Tablets,BUM-1MG-TEV,"Loop diuretic used to treat edema associated with congestive heart failure, hepatic and renal disease.",82.00,95.00,90,10,true,false,Tablet,1mg,Bumetanide,Teva,Cardiovascular
Penicillin V 250mg Tablets,PEN-250-RUD,"Oral penicillin antibiotic for streptococcal pharyngitis, skin infections, and rheumatic fever prophylaxis.",124.91,145.00,100,10,true,false,Tablet,250mg,Phenoxymethylpenicillin Potassium,Rudi Pharm,Antibiotics
Flucloxacillin 500mg Capsules - Kent,FLU-500-KEN,"Beta-lactamase resistant penicillin antibiotic treating cellulitis, impetigo, and wound infections.",139.00,160.00,120,15,true,false,Capsule,500mg,Flucloxacillin Sodium,Kent Pharma,Antibiotics
Flucloxacillin 500mg Capsules - Medreich,FLU-500-MED,Staphylococcal infection-fighting antibiotic capsules with high tissue penetration.,131.00,150.00,120,15,true,false,Capsule,500mg,Flucloxacillin Sodium,Medreich,Antibiotics
Ferrous Fumarate 210mg Tablets - Remedy,FER-FUM-REM,High-elemental iron tablets for prevention and cure of iron-deficiency anemia.,74.00,85.00,150,15,false,false,Tablet,210mg,Ferrous Fumarate,Remedy Healthcare,Vitamins & Supplements
Ferrous Fumarate 210mg Tablets - Trion,FER-FUM-TRI,Oral iron supplement providing elemental iron to boost hemoglobin levels.,74.00,85.00,150,15,false,false,Tablet,210mg,Ferrous Fumarate,Trion Pharma,Vitamins & Supplements
Folic Acid 5mg Tablets - Relon Chem,FOL-5MG-REL,Essential B-vitamin for folate deficiency anemia and neural tube defect prevention in pregnancy.,61.00,70.00,200,20,false,false,Tablet,5mg,Folic Acid (Vitamin B9),Relon Chem,Vitamins & Supplements
Folic Acid 5mg Tablets - Crescent,FOL-5MG-CRE,High-potency folic acid supplement promoting healthy cell division and RBC development.,62.00,72.00,200,20,false,false,Tablet,5mg,Folic Acid (Vitamin B9),Crescent Pharma,Vitamins & Supplements
Folic Acid 5mg Tablets - Accord,FOL-5MG-ACC,Affordable daily folate supplementation for prenatal care and hematologic wellness.,28.00,35.00,200,20,false,false,Tablet,5mg,Folic Acid (Vitamin B9),Accord Healthcare,Vitamins & Supplements
Fexofenadine 180mg Tablets,FEX-180-ZEN,Maximum-strength non-drowsy 24-hour antihistamine for chronic idiopathic urticaria and severe allergies.,246.00,280.00,100,10,false,false,Tablet,180mg,Fexofenadine Hydrochloride,Zentiva,Allergy & Cold
Salamol Inhaler 100mcg (CFC-Free),SAL-100-IVA,Metered dose Salbutamol inhaler for rapid bronchospasm relief and asthma management.,49.89,60.00,150,15,true,false,Inhaler,100mcg,Salbutamol Sulfate,Ivax Pharmaceuticals / Teva,Respiratory
Finasteride 5mg Tablets,FIN-5MG-CIP,5-alpha reductase inhibitor for benign prostatic hyperplasia (BPH) symptom reduction and urinary flow improvement.,163.00,185.00,80,10,true,false,Tablet,5mg,Finasteride,Cipla,Men Health
Metrosa 0.75% Gel (40g),MET-075-BEA,Topical metronidazole gel for the treatment of inflammatory papules and pustules of rosacea.,459.00,510.00,40,5,true,false,Gel,0.75% (40g),Metronidazole,Beaumont Pharma,Personal Care
Hydrocortisone 1% Cream (15g) - Strides,HYD-1PCT-STR,"Mild topical corticosteroid for relief of eczema, dermatitis, insect bites, and allergic skin irritation.",69.00,80.00,120,15,false,false,Cream,1% (15g),Hydrocortisone,Strides Pharma,Personal Care
Hydrocortisone 1% Cream (15g) - Numark,HYD-1PCT-NUM,Soothing anti-itch hydrocortisone cream for skin rash and allergic flare-ups.,74.00,85.00,120,15,false,false,Cream,1% (15g),Hydrocortisone,Numark,Personal Care
Vitamin B Complex Strong Tablets,VIT-BCO-BEL,"High-potency B-complex supplement providing Thiamine (B1), Riboflavin (B2), Nicotinamide (B3), and Pyridoxine (B6).",41.00,50.00,200,20,false,false,Tablet,Standard,"Vitamin B Complex (B1, B2, B3, B6)",Bell's Healthcare,Vitamins & Supplements
Hydrocortisone 1% Cream (30g),HYD-1PCT-30G,Economy size hydrocortisone cream for larger surface area eczema and inflammatory dermatoses.,46.97,58.00,150,15,false,false,Cream,1% (30g),Hydrocortisone,Generic,Personal Care
Losartan 50mg Tablets - Ipca,LOS-50MG-IPC,Angiotensin II receptor blocker (ARB) for hypertension treatment and diabetic nephropathy renal protection.,24.00,30.00,180,20,true,false,Tablet,50mg,Losartan Potassium,Ipca Laboratories,Cardiovascular
Losartan 50mg Tablets - Medreich,LOS-50MG-MED,High-grade ARB blood pressure medication reducing stroke risk in hypertensive patients.,180.00,205.00,120,15,true,false,Tablet,50mg,Losartan Potassium,Medreich,Cardiovascular
Losartan 50mg Tablets - Kent Pharma,LOS-50MG-KEN,Reliable blood pressure medication improving long-term cardiac and kidney outcomes.,180.00,205.00,120,15,true,false,Tablet,50mg,Losartan Potassium,Kent Pharma,Cardiovascular
Amoxicillin 250mg/5mL Oral Suspension,AMX-250-SUS,"Broad-spectrum pediatric antibiotic suspension for ear infections, chest infections, and dental abscesses.",31.00,38.00,150,20,true,false,Suspension,250mg/5mL,Amoxicillin Trihydrate,Generic,Antibiotics
Olanzapine 10mg Tablets,OLA-10MG-GLE,Second-generation atypical antipsychotic for schizophrenia and moderate to severe manic episodes.,86.00,100.00,80,10,true,false,Tablet,10mg,Olanzapine,Glenmark,Mental Health
Oestrogel Pump Pack 750mcg/dose (80g),OES-750-BES,Transdermal 17-beta estradiol gel for hormone replacement therapy (HRT) alleviating menopausal symptoms.,402.00,450.00,50,5,true,false,Gel,750mcg/dose,Estradiol,Besins Healthcare,Women Health
Ibuprofen 5% Gel (100g) - Mentholatum,IBU-5PCT-GEL,"Deep penetrating topical anti-inflammatory gel providing targeted joint, back, and muscular pain relief.",71.00,85.00,120,15,false,false,Gel,5% (100g),Ibuprofen,Mentholatum,Pain Relief
Trimethoprim 100mg Tablets,TRI-100-CRE,Folate antagonist antibiotic indicated for first-line treatment of urinary tract infections (UTIs).,115.00,130.00,100,10,true,false,Tablet,100mg,Trimethoprim,Crescent Pharma,Antibiotics
Tamsulosin 400mcg MR Capsules - Hillcross,TAM-400-HIL,Alpha-1A adrenoceptor blocker for rapid relief of lower urinary tract symptoms in benign prostatic hyperplasia.,139.00,160.00,100,10,true,false,Capsule,400mcg,Tamsulosin Hydrochloride,Hillcross Pharma,Men Health
Tamsulosin 400mcg MR Capsules - Zentiva,TAM-400-ZEN,Modified-release prostate medication improving urinary stream and reducing nighttime voiding.,139.00,160.00,100,10,true,false,Capsule,400mcg,Tamsulosin Hydrochloride,Zentiva,Men Health
Clopidogrel 75mg Tablets - Zentiva,CLO-75MG-ZEN,P2Y12 platelet inhibitor used to prevent atherothrombotic events following stent placement or stroke.,47.00,58.00,150,15,true,false,Tablet,75mg,Clopidogrel Bisulfate,Zentiva,Cardiovascular
Thiamine 100mg Tablets (Vitamin B1),THI-100-BIO,"High-dose Vitamin B1 supplement treating thiamine deficiency, neuropathy, and supporting carbohydrate metabolism.",74.00,85.00,150,15,false,false,Tablet,100mg,Thiamine Hydrochloride,BioVantic Pharma,Vitamins & Supplements
Sildenafil 25mg Tablets - Amarox,SIL-25MG-AMA,PDE5 inhibitor starting dose for erectile dysfunction treatment.,122.00,140.00,80,10,true,false,Tablet,25mg,Sildenafil Citrate,Amarox Pharma,Men Health
Sildenafil 25mg Tablets - Milpharm,SIL-25MG-MIL,Phosphodiesterase type 5 inhibitor for men health and erectile performance.,130.00,150.00,80,10,true,false,Tablet,25mg,Sildenafil Citrate,Milpharm Limited,Men Health
Sildenafil 50mg Tablets - Dr. Reddys,SIL-50MG-DRR,Standard effective dose PDE5 inhibitor for erectile dysfunction management.,54.00,65.00,120,15,true,false,Tablet,50mg,Sildenafil Citrate,Dr. Reddy's Laboratories,Men Health
Sildenafil 50mg Tablets - Lekap,SIL-50MG-LEK,Affordable quality sildenafil citrate tablets for male wellness.,35.00,45.00,120,15,true,false,Tablet,50mg,Sildenafil Citrate,Lekap Pharma,Men Health
Senna 7.5mg Tablets,SEN-75MG-TAB,Natural anthraquinone stimulant laxative providing overnight relief from occasional constipation.,120.00,140.00,180,20,false,false,Tablet,7.5mg,Sennosides,Generic,Gastrointestinal
Nitrofurantoin 100mg Prolonged Release Capsules,NIT-100-MER,First-choice antibiotic for acute uncomplicated urinary tract infections and cystitis.,210.00,240.00,90,10,true,false,Capsule,100mg,Nitrofurantoin,Mercury Pharma,Antibiotics
Amoxicillin 500mg Capsules - Brown & Burk,AMX-500-BRN,"High-potency broad-spectrum aminopenicillin for chest, ear, throat, and sinus infections.",46.00,55.00,200,20,true,true,Capsule,500mg,Amoxicillin Trihydrate,Brown & Burk,Antibiotics
Amoxicillin 500mg Capsules - Medreich,AMX-500-MED,Reliable antibacterial capsules treating broad bacterial infections.,46.00,55.00,200,20,true,true,Capsule,500mg,Amoxicillin Trihydrate,Medreich,Antibiotics
Inhixa 8000iu (80mg/0.8mL) Pre-filled Syringes,INH-8000-SYR,"Low molecular weight heparin (LMWH) anticoagulant for treatment of DVT, pulmonary embolism, and acute coronary syndrome.",804.00,880.00,40,5,true,false,Injection,8000iu (80mg/0.8mL),Enoxaparin Sodium,Techdow Pharma,Cardiovascular
Inhixa 6000iu (60mg/0.6mL) Pre-filled Syringes,INH-6000-SYR,Enoxaparin pre-filled syringes for therapeutic anticoagulation and thrombosis prevention.,607.00,670.00,40,5,true,false,Injection,6000iu (60mg/0.6mL),Enoxaparin Sodium,Techdow Pharma,Cardiovascular
Gaviscon Advance Chewable Tablets,GAV-ADV-TAB,Extra-strength alginate formula forming a robust physical barrier to block acid reflux and soothe heartburn.,144.00,165.00,120,15,false,false,Tablet,Standard,Sodium Alginate + Potassium Bicarbonate,Reckitt Benckiser,Gastrointestinal
Levonorgestrel 1.5mg Emergency Contraceptive - Clydesdale,LEV-15MG-CLY,Single-tablet morning-after emergency contraception effective up to 72 hours post-unprotected intercourse.,74.00,85.00,100,10,false,false,Tablet,1.5mg,Levonorgestrel,Clydesdale Pharma Ltd,Women Health
Levonorgestrel 1.5mg Emergency Contraceptive - Relon Chem,LEV-15MG-REL,Emergency contraceptive pill preventing pregnancy within 72 hours of unprotected intercourse.,74.00,85.00,100,10,false,false,Tablet,1.5mg,Levonorgestrel,Relon Chem,Women Health
Eva One 1.5mg Emergency Contraceptive Tablet,EVA-ONE-TAB,Rapid-acting emergency contraception tablet with proven efficacy and high safety profile.,35.00,42.00,150,15,false,false,Tablet,1.5mg,Levonorgestrel,Eva Pharma,Women Health
